---- Opened the serial port COM8 ----
4 41 c a e6 0 0 0
4 41 c a ea 0 0 0
4 41 c a f0 0 0 0
4 41 c a e2 0 0 0
4 41 c a f4 0 0 0
4 41 c a ce 0 0 0
4 41 c a e4 0 0 0
4 41 c a f2 0 0 0
4 41 c a ea 0 0 0
4 41 c a f6 0 0 0
4 41 c a d2 0 0 0
4 41 c a f2 0 0 0
4 41 c a f4 0 0 0
4 41 c a f6 0 0 0
4 41 c a f8 0 0 0
4 41 c a f4 0 0 0
4 41 c a ee 0 0 0
4 41 c a f0 0 0 0
4 41 c b 2 0 0 0
4 41 c a ec 0 0 0
4 41 c a f6 0 0 0
4 41 c a da 0 0 0
4 41 c a fc 0 0 0
4 41 c a de 0 0 0
4 41 c a e8 0 0 0
4 41 c a d6 0 0 0
4 41 c a f2 0 0 0
4 41 c a f4 0 0 0
4 41 c a ee 0 0 0
4 41 c a ec 0 0 0
4 41 c a f6 0 0 0
4 41 c a e2 0 0 0
4 41 c a e6 0 0 0
4 41 c a f2 0 0 0
4 41 c a ee 0 0 0
4 41 c a e2 0 0 0
4 41 c a e6 0 0 0
4 41 c a ec 0 0 0
4 41 c a de 0 0 0
4 41 c a ec 0 0 0
4 41 c a e2 0 0 0
4 41 c a f4 0 0 0
4 41 c a f2 0 0 0
---- Closed the serial port COM8 ----
---- Opened the serial port COM8 ----
4 41 c a f4 0 0 0  rmp 701.0
4 41 c a ec 0 0 0  rmp 699.0
4 41 c b 6 0 0 0  rmp 705.5
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a f2 0 0 0  rmp 700.5
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a e0 0 0 0  rmp 696.0
4 41 c a fe 0 0 0  rmp 703.5
4 41 c a dc 0 0 0  rmp 695.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a e4 0 0 0  rmp 697.0
4 41 c a fe 0 0 0  rmp 703.5
4 41 c b 0 0 0 0  rmp 704.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a ec 0 0 0  rmp 699.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a f4 0 0 0  rmp 701.0
4 41 c a ee 0 0 0  rmp 699.5
4 41 c a f2 0 0 0  rmp 700.5
4 41 c a f0 0 0 0  rmp 700.0
4 41 c a f4 0 0 0  rmp 701.0
4 41 c b 4 0 0 0  rmp 705.0
4 41 c b 18 0 0 0  rmp 710.0
4 41 c b 6 0 0 0  rmp 705.5
4 41 c a fa 0 0 0  rmp 702.5
4 41 c a e8 0 0 0  rmp 698.0
4 41 c a e6 0 0 0  rmp 697.5
4 41 c a d2 0 0 0  rmp 692.5
4 41 c a d6 0 0 0  rmp 693.5
4 41 c a fe 0 0 0  rmp 703.5
4 41 c b 2e 0 0 0  rmp 715.5
4 41 c d 6c 0 0 0  rmp 859.0
4 41 c 10 ba 0 0 0  rmp 1070.5
4 41 c 13 66 0 0 0  rmp 1241.5
4 41 c e e6 0 0 0  rmp 953.5
4 41 c c e6 0 0 0  rmp 825.5
4 41 c b c4 0 0 0  rmp 753.0
4 41 c b 4c 0 0 0  rmp 723.0
4 41 c b 32 0 0 0  rmp 716.5
4 41 c b c 0 0 0  rmp 707.0
4 41 c a f2 0 0 0  rmp 700.5
4 41 c b 84 0 0 0  rmp 737.0
4 41 c 1b b6 0 0 0  rmp 1773.5
4 41 c 16 ca 0 0 0  rmp 1458.5
4 41 c 11 2e 0 0 0  rmp 1099.5
4 41 c e 2e 0 0 0  rmp 907.5
4 41 c c 48 0 0 0  rmp 786.0
4 41 c c 72 0 0 0  rmp 796.5
4 41 c 15 8a 0 0 0  rmp 1378.5
4 41 c 18 e2 0 0 0  rmp 1592.5
4 41 c 11 28 0 0 0  rmp 1098.0
4 41 c e 1c 0 0 0  rmp 903.0
4 41 c c 80 0 0 0  rmp 800.0
4 41 c b f2 0 0 0  rmp 764.5
4 41 c 36 e 0 0 0  rmp 3459.5
4 41 c 2b 9a 0 0 0  rmp 2790.5
4 41 c 1e b0 0 0 0  rmp 1964.0
4 41 c 15 30 0 0 0  rmp 1356.0
4 41 c 11 5c 0 0 0  rmp 1111.0
4 41 c e 26 0 0 0  rmp 905.5
4 41 c d ac 0 0 0  rmp 875.0
4 41 c 23 94 0 0 0  rmp 2277.0
4 41 c 1c 84 0 0 0  rmp 1825.0
4 41 c 15 e 0 0 0  rmp 1347.5
4 41 c f dc 0 0 0  rmp 1015.0
4 41 c d 42 0 0 0  rmp 848.5
4 41 c b e6 0 0 0  rmp 761.5
4 41 c b 7c 0 0 0  rmp 735.0
4 41 c b 2a 0 0 0  rmp 714.5
4 41 c b 1a 0 0 0  rmp 710.5
4 41 c a fc 0 0 0  rmp 703.0
